titulo,link,descricao,fonte,data_publicacao,fim_inscricao,situacao,extras
Concessões de Recurso Financeiros ou Renúncias de Receitas,https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/2-3-concessoes-de-recurso-financeiros-ou-renuncias-de-receitas,O Ministério do Meio Ambiente e Mudança do Clima não possui concessões de recursos financeiros nem renúncias de receitas.,MMA / FNMA,,,Aberto,"{'anexos': [], 'fonte_original': 'MMA gov.br'}"
Governança,https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/governanca,"Governança pública é conjunto de mecanismos de liderança, estratégia e controle postos em prática para avaliar, direcionar e monitorar a gestão, com vistas à condução de políticas públicas e à prestação de serviços de interesse da sociedade, conforme consta no Decreto nº 9.203, de 22 de novembro de 2017 que dispõe sobre a política de governança pública federal direta, autárquica e fundacional. https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/decreto/d9203.htmPara estabelecer a Governança do Ministério do Meio Ambiente e Mudança do Clima -MMA foi publicada a Portaria 296, de 07 de julho de 2021, que institui a Política de Governança, Riscos e Controles do MMA, criada para melhor direcionar, estruturar e organizar os esforços dos agentes internos em prol do aprimoramento das políticas públicas ambientais que contribuam com o desenvolvimento sustentável do país. https://www.in.gov.br/en/web/dou/-/portaria-mma-n-296-de-7-de-julho-de-2021-330976099 A governança no âmbito do MMA compreende o conjunto de regras, códigos de conduta, instrumentos de gestão, processos, projetos e sistemas de governança que direcionam e potencializam o planejamento, a implementação, o monitoramento e a avaliação das ações e programas em uma abordagem integrada às competências institucionais. São Instâncias de Governança do Ministério do Meio Ambiente e Mudança do Clima:",MMA / FNMA,,,Aberto,"{'anexos': [{'nome': '1ª Reunião do CG-MMA – 30 de janeiro de 2024', 'url': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/governanca/ata_reunio_1_cg_2024-1.pdf'}, {'nome': '3ª Reunião do CG-MMA – 17 de dezembro de 2024', 'url': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/governanca/CGMMAATA17_12_24.pdf'}, {'nome': 'ata', 'url': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/governanca/Ata_Reuniao_CG_17Dezembro_de_2020.pdf'}, {'nome': 'lista de presença', 'url': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/governanca/ListadePresena17_12_20_CG.pdf'}, {'nome': 'ata', 'url': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/governanca/Ata_Reuniao_CG_Julho_de_2021.pdf'}, {'nome': 'lista de presença', 'url': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/governanca/ListadePresena15h1ReuniodoConselhodeGovernanadoMMAeViculada.pdf'}, {'nome': 'ata', 'url': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/governanca/AtadaReuniodoCGMMAde25082022.pdf'}, {'nome': 'lista de presença', 'url': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/governanca/ListadePresenasCGMMA25agosto2022.pdf'}, {'nome': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/programa-projetos-acoes-obras-atividades/Ata_8_Reuniao_do_Comite_Interno_de_Governanca.pdf', 'url': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/programa-projetos-acoes-obras-atividades/Ata_8_Reuniao_do_Comite_Interno_de_Governanca.pdf'}, {'nome': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/programa-projetos-acoes-obras-atividades/7reunioCIGAjudaMemria15_12_2022.pdf', 'url': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/programa-projetos-acoes-obras-atividades/7reunioCIGAjudaMemria15_12_2022.pdf'}, {'nome': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/programa-projetos-acoes-obras-atividades/6a-reuniao-cig-ajuda-memoria-09_06_2022.pdf', 'url': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/programa-projetos-acoes-obras-atividades/6a-reuniao-cig-ajuda-memoria-09_06_2022.pdf'}, {'nome': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/5a-reuniao-do-cig-mma.pdf', 'url': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/5a-reuniao-do-cig-mma.pdf'}, {'nome': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/4a-reuniao-do-cig-mma.pdf', 'url': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/4a-reuniao-do-cig-mma.pdf'}, {'nome': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/programa-projetos-acoes-obras-atividades/3-a-reuniao-do-cig-mma.pdf', 'url': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/programa-projetos-acoes-obras-atividades/3-a-reuniao-do-cig-mma.pdf'}, {'nome': 'Link/Documento', 'url': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/4a-reuniao-do-cig-mma.pdf'}, {'nome': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/2-a-reuniao-do-cig-mma.pdf', 'url': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/2-a-reuniao-do-cig-mma.pdf'}, {'nome': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/1-a-reuniao-do-cig-mma.pdf', 'url': 'https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/1-a-reuniao-do-cig-mma.pdf'}], 'fonte_original': 'MMA gov.br'}"
2.5 Unidades Responsáveis,https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/unidades-responsaveis,"Gabinete da Ministra - https://www.gov.br/mma/pt-br/composicao/gm Secretaria Executiva - https://www.gov.br/mma/pt-br/composicao/secex Secretaria Nacional de Biodiversidade, Florestas e Direitos Animais - https://www.gov.br/mma/pt-br/composicao/sbio Secretaria Nacional de Bioeconomia - https://www.gov.br/mma/pt-br/composicao/sbc Secretaria Extraordinária de Controle do Desmatamento e Ordenamento Ambiental Territorial - https://www.gov.br/mma/pt-br/composicao/secd",MMA / FNMA,,,Aberto,"{'anexos': [], 'fonte_original': 'MMA gov.br'}"
Apoio a Projetos,https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/apoio-a-projetos,Apoio a Projetos,MMA / FNMA,,,Aberto,"{'anexos': [], 'fonte_original': 'MMA gov.br'}"
3.2 Audiências e Consultas Públicas,https://www.gov.br/mma/pt-br/acesso-a-informacao/participacao-social/3-2-audiencias-e-consultas-publicas,"I - Audiências e Consultas Públicas As Audiências e Consultas Pública são mecanismos de participação social não presencial, com período determinado para encerrar, que todos os cidadãos podem participar. Tem como finalidade subsidiar o processo de tomada de decisão e de edição das normas da administração pública e, para atender aos anseios da população, disponibiliza maneiras de receber a contribuição dos cidadãos. Para acesso ao Portal de Consultas Públicas do Governo Federal, clique aqui. Para acesso ao Portal de Audiências Públicas do Governo Federal, clique aqui.",MMA / FNMA,,,Aberto,"{'anexos': [], 'fonte_original': 'MMA gov.br'}"
Editais de Chamamento Público,https://www.gov.br/mma/pt-br/acesso-a-informacao/participacao-social/3-5-editais-de-chamamento-publico,Edital das Inscrições para a Comissão Nacional de Segurança Química (CONASQ) no biênio 2026-2028 Edital de Seleção de Representantes para a Câmara de Participação Social do Comitê Interministerial sobre Mudança do Clima (CIM),MMA / FNMA,,,Aberto,"{'anexos': [], 'fonte_original': 'MMA gov.br'}"
Receita Pública,https://www.gov.br/mma/pt-br/acesso-a-informacao/6-receitas-e-despesas/6-1-receita-publica,"Exibe consulta detalhada sobre as receitas prevista para o MMA. Para refinar os resultados, utilize os filtros disponíveis à esquerda da tela de consulta, seja por período, natureza, nome do órgão ou orçamento. É possível também baixar os dados e acessar visualização gráfica das informações, pelos itens ""Baixar"" e ""Visualização Gráfica"". Para encontrar as informações sobre receitas do MMA no Portal da Transparência basta clicar no link acima ou realizar o passo a passo a seguir: 1 - Acessar o Portal da Transparência: http://transparencia.gov.br;2 - No menu superior, localizar “Consultas Detalhadas” -> “Receitas públicas”; 3 - Utilizar a barra lateral esquerda de filtros para escolher um filtro. Algumas opções de filtro são: período, órgão, natureza da receita e valor. Para acessar os dados do MMA, colocar, no filtro “órgão”, o nome Ministério do Meio Ambiente ou a sigla MMA ou, ainda, o código 44000;4 - Depois é só clicar em Consultar.",MMA / FNMA,,,Aberto,"{'anexos': [], 'fonte_original': 'MMA gov.br'}"
8.3 Concursos Públicos,https://www.gov.br/mma/pt-br/acesso-a-informacao/8-servidores-ou-empregados-publicos/concursos-publicos,8.3 Concursos Públicos,MMA / FNMA,,,Aberto,"{'anexos': [], 'fonte_original': 'MMA gov.br'}"
Acompanhamento do Programa de Gestão e Desempenho no MMA,https://www.gov.br/mma/pt-br/acesso-a-informacao/8-servidores-ou-empregados-publicos/copy_of_acompanhamento-de-trabalho-remoto-e-presencial-do-mma,"O Programa de Gestão e Desempenho - PGD é o modelo de gestão instituído pela Administração Pública Federal por meio do Decreto nº 11.072/2022 e regulamentado pelas Instruções Normativas nº 24/2023 e 52/2023. Esso modelo de gestão induz a melhoria do desempenho das instituições públicas federais, com foco na gestão por resultados. O PGD alinha estratégias organizacionais, entregas das unidades e planos de trabalho dos agentes públicos, buscando, assim, a melhoria da qualidade dos serviços prestados à sociedade. A principal mudança para os participantes do PGD é a dispensa do controle de frequência e assiduidade (o famoso ponto) e sua substituição pelo controle de resultados. Além disso, a modalidade teletrabalho possibilita que o participante exerça, parcial ou integralmente, suas atividades a partir de um local por ele definido, sem ser necessariamente nas dependências do órgão/entidade. Podemos dizer, portanto, que o PGD impacta diretamente na forma de gestão das contribuições do participante, propiciando maior autonomia e qualidade de vida para os participantes, além de ampliar a capacidade de gestão das organizações. No âmbito do Ministério do Meio Ambiente e Mudança do Clima - MMA, o PGD foi regulamentado com a publicação da Portaria GM/MMA nº 1.194, de 30 de outubro de 2024. A implementação do PGD no Ministério do Meio Ambiente e Mudança do Clima pode ser acompanhado por meio dos Painéis de Transparência, disponibilizados para consulta pública no Portal do Servidor, acessível por meio do link: Painéis de transparência — Portal do Servidor.",MMA / FNMA,,,Aberto,"{'anexos': [], 'fonte_original': 'MMA gov.br'}"
Disponibilização das Bases de Dados Programadas para Abertura no PDA do Órgão,https://www.gov.br/mma/pt-br/acesso-a-informacao/dados-abertos/12-2-disponibilizacao-das-bases-de-dados-programadas-para-abertura-no-pda-do-orgao,Disponibilização das Bases de Dados Programadas para Abertura no PDA do Órgão,MMA / FNMA,,,Aberto,"{'anexos': [], 'fonte_original': 'MMA gov.br'}"
Programa de Gestão e Desempenho (PGD),https://www.gov.br/mma/pt-br/acesso-a-informacao/programa-de-gestao-e-desempenho-pgd,"Programa de Gestão e Desempenho (PGD) é o nome dado ao modelo de gestão instituído pela Administração Pública Federal por meio do Decreto nº 11.072, de 17 de maio de 2022, o qual disciplina o desenvolvimento e a mensuração das atividades realizadas pelos seus participantes, com foco na entrega por resultados e na qualidade dos serviços prestados à sociedade. Neste sentido, o PGD configura-se como um instrumento mais abrangente do que simplesmente a adoção do sistema de teletrabalho, sendo uma verdadeira ferramenta de gestão para as instituições. Os novos normativos que regulamentam o PGD retiram o foco exclusivamente sobre o desempenho do servidor e englobam a instituição para a qual se trabalha. O conceito de plano de entregas para as instituições deve refletir o que estão entregando, a qualidade da entrega, para quem e qual a contribuição desta entrega individual para o alcance das metas institucionais. A instituição do PGD exige a adoção de um sistema informatizado de acompanhamento e controle que permita o monitoramento eficaz do trabalho efetivamente desenvolvido pelo agente público, que possibilita maior transparência dos serviços públicos prestados, com foco em resultados.",MMA / FNMA,,,Aberto,"{'anexos': [], 'fonte_original': 'MMA gov.br'}"
O que temos para você,https://www.gov.br/mma/pt-br/acesso-a-informacao/programa-de-gestao-e-desempenho-pgd/o-que-temos-para-voce,O que temos para você,MMA / FNMA,,,Aberto,"{'anexos': [], 'fonte_original': 'MMA gov.br'}"
Conheça o Programa de Gestão e Desempenho do MMA,https://www.gov.br/mma/pt-br/acesso-a-informacao/programa-de-gestao-e-desempenho-pgd/conheca-o-programa-de-gestao-e-desempenho-do-mma,Conheça o Programa de Gestão e Desempenho do MMA,MMA / FNMA,,,Aberto,"{'anexos': [], 'fonte_original': 'MMA gov.br'}"
Normativos,https://www.gov.br/mma/pt-br/acesso-a-informacao/programa-de-gestao-e-desempenho-pgd/normativos,"DECRETO Nº 11.072, DE 17 DE MAIO DE 2022 - Dispõe sobre o Programa de Gestão e Desempenho - PGD da administração pública federal direta, autárquica e fundacional. INSTRUÇÃO NORMATIVA CONJUNTA SEGES-SGPRT/MGI Nº 24, DE 28 DE JULHO DE 2023 - Estabelece orientações a serem observadas pelos órgãos e entidades integrantes do Sistema de Pessoal Civil da Administração Federal - Sipec e do Sistema de Organização e Inovação Institucional do Governo Federal - Siorg, relativas à implementação e execução do Programa de Gestão e Desempenho - PGD.​​ INSTRUÇÃO NORMATIVA CONJUNTA SGP-SRT-SEGES/MGI Nº 52, DE 21 DE DEZEMBRO DE 2023 - ​​Estabelece orientações a serem observadas pelos órgãos e entidades integrantes do Sistema de Pessoal Civil da Administração Federal - Sipec e do Sistema de Organização e Inovação Institucional do Governo Federal - Siorg, relativas às regras de gestão de pessoas no âmbito do Programa de Gestão e Desempenho - PGD.",MMA / FNMA,,,Aberto,"{'anexos': [], 'fonte_original': 'MMA gov.br'}"
